League,Pos,Team,P,W,D,L,F,A,GD,Pts,Table Type,Season,KEY
Bundesliga,5,RB Leipzig,17,6,4,7,23,27,-4,22,Away League Table,2017/18,Bundesliga|RB Leipzig|2017/18
Bundesliga,6,Hertha BSC,17,5,6,6,20,19,1,21,Away League Table,2017/18,Bundesliga|Hertha BSC|2017/18
Bundesliga,7,Eintracht Frankfurt,17,6,3,8,19,26,-7,21,Away League Table,2017/18,Bundesliga|Eintracht Frankfurt|2017/18
Bundesliga,8,FC Augsburg,17,4,7,6,19,22,-3,19,Away League Table,2017/18,Bundesliga|FC Augsburg|2017/18
Bundesliga,9,TSG 1899 Hoffenheim,17,4,6,7,28,32,-4,18,Away League Table,2017/18,Bundesliga|TSG 1899 Hoffenheim|2017/18
Bundesliga,10,Werder Bremen,17,4,5,8,17,23,-6,17,Away League Table,2017/18,Bundesliga|Werder Bremen|2017/18
Bundesliga,11,VfB Stuttgart,17,5,2,10,18,27,-9,17,Away League Table,2017/18,Bundesliga|VfB Stuttgart|2017/18
Bundesliga,12,VfL Wolfsburg,17,3,7,7,13,23,-10,16,Away League Table,2017/18,Bundesliga|VfL Wolfsburg|2017/18
Bundesliga,13,"Borussia M'gladbach",17,4,4,9,19,32,-13,16,Away League Table,2017/18,"Bundesliga|Borussia M'gladbach|2017/18"
Bundesliga,14,Hannover 96,17,2,6,9,16,29,-13,12,Away League Table,2017/18,Bundesliga|Hannover 96|2017/18
Bundesliga,15,1. FSV Mainz 05,17,2,6,9,16,31,-15,12,Away League Table,2017/18,Bundesliga|1. FSV Mainz 05|2017/18
Bundesliga,16,Hamburger SV,17,2,3,12,12,34,-22,9,Away League Table,2017/18,Bundesliga|Hamburger SV|2017/18
Bundesliga,17,SC Freiburg,17,1,6,10,15,39,-24,9,Away League Table,2017/18,Bundesliga|SC Freiburg|2017/18
Bundesliga,18,1. FC Koln,17,2,2,13,15,40,-25,8,Away League Table,2017/18,Bundesliga|1. FC Koln|2017/18
La Liga,1,Barcelona,38,28,9,1,99,29,70,93,League Table,2017/18,La Liga|Barcelona|2017/18
La Liga,2,Atletico Madrid,38,23,10,5,58,22,36,79,League Table,2017/18,La Liga|Atletico Madrid|2017/18
La Liga,3,Real Madrid,38,22,10,6,94,44,50,76,League Table,2017/18,La Liga|Real Madrid|2017/18
La Liga,4,Valencia,38,22,7,9,65,38,27,73,League Table,2017/18,La Liga|Valencia|2017/18
La Liga,5,Villarreal,38,18,7,13,57,50,7,61,League Table,2017/18,La Liga|Villarreal|2017/18
La Liga,6,Real Betis,38,18,6,14,60,61,-1,60,League Table,2017/18,La Liga|Real Betis|2017/18
La Liga,7,Sevilla,38,17,7,14,49,58,-9,58,League Table,2017/18,La Liga|Sevilla|2017/18
La Liga,8,Getafe,38,15,10,13,42,33,9,55,League Table,2017/18,La Liga|Getafe|2017/18
La Liga,9,Eibar,38,14,9,15,44,50,-6,51,League Table,2017/18,La Liga|Eibar|2017/18
La Liga,10,Girona FC,38,14,9,15,50,59,-9,51,League Table,2017/18,La Liga|Girona FC|2017/18
La Liga,11,Real Sociedad,38,14,7,17,66,59,7,49,League Table,2017/18,La Liga|Real Sociedad|2017/18
La Liga,12,Celta Vigo,38,13,10,15,59,60,-1,49,League Table,2017/18,La Liga|Celta Vigo|2017/18
La Liga,13,Espanyol,38,12,13,13,36,42,-6,49,League Table,2017/18,La Liga|Espanyol|2017/18
La Liga,14,CD Alaves,38,15,2,21,40,50,-10,47,League Table,2017/18,La Liga|CD Alaves|2017/18
La Liga,15,Levante,38,11,13,14,44,58,-14,46,League Table,2017/18,La Liga|Levante|2017/18
La Liga,16,Athletic Bilbao,38,10,13,15,41,49,-8,43,League Table,2017/18,La Liga|Athletic Bilbao|2017/18
La Liga,17,CD Leganes,38,12,7,19,34,51,-17,43,League Table,2017/18,La Liga|CD Leganes|2017/18
La Liga,18,Deportivo La Coruna,38,6,11,21,38,76,-38,29,League Table,2017/18,La Liga|Deportivo La Coruna|2017/18
La Liga,19,Las Palmas,38,5,7,26,24,74,-50,22,League Table,2017/18,La Liga|Las Palmas|2017/18
La Liga,20,Malaga,38,5,5,28,24,61,-37,20,League Table,2017/18,La Liga|Malaga|2017/18
La Liga,1,Barcelona,19,16,3,-,53,11,42,51,Home League Table,2017/18,La Liga|Barcelona|2017/18
